Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
14,1.1,28.4037558685,15.9645891341,0.8473124143,13.3183098592,7.7221158499,0.4098473546
15,1.1,20.5413422321,9.4474586272,1.0128738817,25.8505747126,9.5261632899,1.0213119072
16,1.1,12.6781472684,1.8962900655,0.6704397822,55.5,11.9582607431,4.2278836313
17,1.1,18.2290539078,6.0872264198,1.0932981396,39.3225806452,12.6347883722,2.2692749816
18,1.1,29.7094508301,15.885197039,0.9832690121,16.7394636015,8.133532013,0.5034529926
20,1.1,38.475,27.7373732534,1.2404530422,9.614,7.4900603469,0.3349656818
21,1.1,48.7142857143,29.5057932741,1.3195391898,10.054,6.8922481093,0.3082307058
22,1.1,46.6,29.6173935383,1.3245301054,10.508,7.6449941792,0.3418945334
23,1.1,50.3555555556,27.5881885623,1.2337813,12.098,7.7356574381,0.3459491176
24,1.1,36.2888888889,27.8869941809,1.2471442935,9.562,7.613025417,0.3404648469
26,1.1,27.1332694151,15.4150864725,1.2628530896,21.5771812081,11.602580833,0.9505204579
27,1.1,33.3029820168,18.9095948387,1.3682502622,18.8795811518,10.8917160429,0.7880969137
28,1.1,27.5478927203,19.0965134268,1.1820445063,14.6053639847,10.4170418306,0.6447987018
29,1.1,24.1666666667,12.9677094261,1.193774415,27.7542372881,11.8778646434,1.0934460706
30,1.1,54.6333333333,30.480941222,1.3631491318,10.036,6.9292643188,0.309886121
31,1.1,38.0918727915,22.5775851348,1.3420981287,15.2296819788,8.8525556134,0.5262298094
33,1.1,34.203420342,19.6117922596,1.3798808882,18.3465346535,10.4260105463,0.7335715422
34,1.1,40.2412280702,21.7196618206,1.245708039,12.6217105263,7.4783672029,0.428913775
35,1.1,36.7971530249,21.9929977309,1.3119922494,15.0391459075,8.9813110415,0.5357800979
36,1.1,45.9,28.8433701221,1.2899147259,10.084,7.3496220311,0.3286850894
37,1.1,28.563401386,19.0795643496,1.1381913851,13.768683274,8.7463188826,0.5217616409
38,1.1,33.0853635856,23.7648004922,1.4126707563,16.0318021201,11.236096832,0.667916628
39,1.1,28.1744571218,20.3635196704,1.2041201607,14.2622377622,9.8028346421,0.579653764
40,1.1,35.7894736842,18.9327760705,1.3735279388,18.1,8.8183719705,0.6397519429
41,1.1,35.2874087591,22.1024430611,1.335257417,14.200729927,7.9862929686,0.4824696026
42,1.1,33.2083333333,21.1657234042,1.2220036105,14.2533333333,9.2579239333,0.5345064875
43,1.1,31.6581196581,18.5864404178,1.2150336202,18.4914529915,9.8002448308,0.6406620465
44,1.1,31.2245259614,21.7556146835,1.2623888027,14.9259259259,9.543162689,0.5537504638
45,1.1,29.5382165605,17.3772092142,1.3868522763,18.178343949,9.0550356787,0.7226705214
46,1.1,32,18.1951595153,1.327018394,19.1329787234,10.1025790714,0.7368063052
49,1.1,60.86,31.104025463,1.3910143062,13.754,8.5452609088,0.3821556856
50,1.1,43.524207422,24.5665747229,1.3885849022,14.8690095847,9.2890449395,0.525047863
51,1.1,44.175,30.7429971701,1.3748686301,10.258,8.3711072147,0.3743672956
52,1.1,45.7,29.2234494884,1.3069123919,10.316,7.3680488598,0.3295091622
53,1.1,38.5416666667,22.7590135047,1.1436834605,14.0681818182,8.1685463345,0.4104848981
