Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
10,0.12,22.2872340426,14.3227406896,1.0445932245,13.25,8.2065263338,0.598522447
11,0.12,0,0,0,0,0,0
12,0.12,0,0,0,0,0,0
13,0.12,0,0,0,0,0,0
14,0.12,13.6033229491,3.8902715877,0.3760867496,12.7476635514,6.9579423561,0.6726496764
15,0.12,15.770609319,5.4886712656,1.0562952776,24.8148148148,8.8695777888,1.7069510413
17,0.12,64.6968490502,9.9174172635,0.6455688766,42.8177966102,10.4157567351,0.6780080132
18,0.12,14.9717514124,3.5254192018,0.4589704866,15.3220338983,7.8122907901,1.0170736302
19,0.12,27.4571428571,19.7324760799,0.8824631576,7.854,6.1250864484,0.2739221933
20,0.12,19.925,13.8809896981,0.6207767312,7.2,6.0630025565,0.2711457173
21,0.12,20.4,11.9250721985,0.5333054414,6.734,5.5309351831,0.247350941
22,0.12,17.95,9.9522610496,0.4450786447,6.988,5.4662469758,0.2444579964
23,0.12,13.8666666667,6.231104771,0.2786634769,6.35,4.6659939991,0.2086695953
24,0.12,22.6444444444,17.5561040702,0.7851328424,7.67,5.9787205989,0.2673765136
25,0.12,22.54,19.4768683314,0.8710320316,8.36,7.4505301825,0.3331978391
26,0.12,51.0373443983,24.342992761,1.5680700093,26.1493775934,12.3053512643,0.7926573557
27,0.12,39.3505778756,21.3062616467,1.3839904169,19.2658227848,9.7855169749,0.6356376328
28,0.12,26.6923076923,18.6779780465,1.1583590248,14.7192307692,9.2907116243,0.5761854752
29,0.12,26.3513513514,15.1436457196,1.2448000102,26.0743243243,11.9028109423,0.9784050325
30,0.12,22.6,12.3520578582,0.5524008207,6.446,5.6454480779,0.2524721133
31,0.12,25.8012820513,15.1452736719,1.0501357847,13.5913461538,8.6469938148,0.5995611457
32,0.12,30.92,18.8455193614,0.8427972473,6.976,6.0520594842,0.2706563282
33,0.12,41.1728896104,22.1231508736,1.4781651944,20.0580357143,10.5746170008,0.7065463181
34,0.12,26.1780104712,12.4626149214,0.9017631673,12.6073298429,6.9566909064,0.5033684877
35,0.12,24.2512077295,14.5781701885,1.0132528716,12.1449275362,7.483848042,0.5201633965
36,0.12,21.975,14.9134796409,0.6669510852,7.88,6.5523736157,0.2930310564
37,0.12,18.7134502924,11.0782765886,0.7699934505,12.9275362319,7.5763148102,0.5265902811
38,0.12,40.6774032874,27.1133801266,1.5228391444,16.5047318612,10.7655313527,0.6046524807
39,0.12,39.5099818512,25.7812983948,1.5139299703,17.1620689655,10.7951749692,0.6339145015
40,0.12,23.5294117647,9.7504209151,0.9654355312,16.1764705882,7.6163031595,0.754126386
41,0.12,35.4383680556,23.2389249707,1.3693667862,15.1180555556,9.437290489,0.5560976751
42,0.12,39.9358006042,23.9801543869,1.3180684903,15.4622356495,9.0714315257,0.4986109707
43,0.12,50.0810810811,26.7257122661,1.5534004723,21.6858108108,11.094766907,0.6448702277
44,0.12,21.6272121351,14.2905750475,0.9443477803,14.6506550218,9.9171353629,0.6553427511
45,0.12,35.917132216,18.8053125732,1.4055750547,19.1117318436,9.7887648981,0.73164664
46,0.12,26.4631578947,15.1148658272,1.0965476181,17.9736842105,9.569377811,0.694235633
47,0.12,27.5714285714,20.5093308779,0.9172051603,8.09,6.9674887872,0.3115955712
48,0.12,29.5666666667,20.6486749642,0.9234368173,7.388,6.6104051313,0.2956263046
49,0.12,13.76,7.5539658458,0.3378236226,6.948,5.6883473874,0.2543906288
50,0.12,22.9976209358,11.8447245376,0.8504016618,12.2010309278,7.1281205117,0.5117692277
51,0.12,19.95,13.3275091446,0.5960243284,7.092,5.6320099432,0.2518711417
52,0.12,16.625,9.092407547,0.4066248271,6.406,5.1292459485,0.2293868523
53,0.12,15.4233870968,5.2312623973,0.4697812314,12.3306451613,6.3407562567,0.5694167213
54,0.12,18.5850645705,6.209903004,0.5305478185,12.2846715328,6.9365728145,0.5926314102
55,0.12,45.9523809524,25.8849422313,1.5753074178,21.6555555556,11.1871233298,0.6808266446
56,0.12,17.5766114829,8.5882213965,0.6645765243,12.9580838323,7.82775141,0.60572959
57,0.12,60.9722222222,14.8227309246,0.9192667481,40.5846153846,10.3713989972,0.643206861
58,0.12,56.1909448819,24.1852259494,1.5175160421,29.3582677165,12.9317404846,0.8114095638
59,0.12,53.7882957256,21.7186197399,1.4107759534,28.9071729958,11.263989484,0.7316747424
60,0.12,94.0181243765,6.8947468969,0.3500277411,31.7396907216,7.4886010907,0.38017612
61,0.12,16.8992248062,6.5911229748,0.5803160197,12.3953488372,6.2622513779,0.5513604901
62,0.12,30.5454545455,17.1536565747,1.2930055146,17.1761363636,8.4562845688,0.6374164326
63,0.12,18.073188947,8.107448832,0.7988506705,16.9417475728,7.819350211,0.7704634699
64,0.12,91.9238035264,16.2662973929,0.8163820642,27.1183879093,7.9347838903,0.3982353879
65,0.12,35.1702351702,17.6432762607,1.0962998442,12.6486486486,7.767625872,0.482656787
66,0.12,33.9884640034,16.507104199,1.3433290885,29.9205298013,11.6166831269,0.9453522658
67,0.12,21.8323586745,11.2861288626,0.8630718452,12.9064327485,7.3693306781,0.5635468019
68,0.12,27.9569892473,16.4401253027,1.2054484731,17.8817204301,9.6490564053,0.7075031423
69,0.12,32.211313698,17.8667657404,1.3100548253,16.9838709677,9.9776501891,0.7315968075
1,0.13,16.6666666667,4.428481476,0.4203328602,13.3873873874,7.6360585692,0.7247826047
2,0.13,14.5843461351,4.9069335463,0.4460848678,12.2479338843,8.866578525,0.8060525932
3,0.13,98.2879251228,1.567851376,0.075086463,32.2844036697,6.6402881322,0.3180121257
4,0.13,99.2333150393,0.7998966448,0.037335978,31.4923747277,5.8385547708,0.2725203988
5,0.13,98.7511563367,0.8820428607,0.0406856033,31.5489361702,6.0131725029,0.2773669647
6,0.13,60.3979591837,23.6529621769,1.4135348545,27.3714285714,11.0578626565,0.6608336903
7,0.13,93.9984258166,6.5214477619,0.3323637536,32.9506493506,7.1336157455,0.3635627229
8,0.13,98.3088512241,1.0432805069,0.0491807147,31.2822222222,5.8086444733,0.2738221264
9,0.13,79.5169946333,12.6548700847,0.6883341886,29.1715976331,7.9178562593,0.4306746041
10,0.13,23.6590909091,14.7831955916,0.9966828435,14.0227272727,9.0786678948,0.6120836646
11,0.13,0,0,0,0,0,0
12,0.13,10.1351351351,0,0,24,0,0
13,0.13,11.8556701031,0,0,49,0,0
14,0.13,13.8095238095,4.4288274376,0.3743042352,11.1785714286,6.1554480598,0.5202303117
15,0.13,16.6034155598,5.2560299751,0.9014017042,27.9705882353,9.466614073,1.6235109196
17,0.13,68.1319910515,6.962303308,0.4019687689,42.09,8.8950491848,0.5135559041
18,0.13,15.7118055556,5.4618563253,0.7883510549,16.125,7.1052357456,1.0255524426
19,0.13,29.4857142857,22.0014099734,0.983932966,7.832,6.5699144591,0.2938155067
20,0.13,21.55,15.9090383116,0.7114738224,7.818,6.8842483976,0.3078729478
21,0.13,20.4571428571,11.4051187935,0.5100524183,6.604,4.7357347899,0.2117884983
22,0.13,17.95,10.0148639531,0.4478783317,6.94,5.4768969317,0.2449342769
23,0.13,14.9777777778,7.9107365704,0.3537788945,6.732,5.0477892191,0.2257439966
24,0.13,22.4444444444,17.425679929,0.7793000975,7.808,6.7182688246,0.3004501157
25,0.13,26,21.335416565,0.9541488354,8.836,7.6650573383,0.3427917852
26,0.13,56.8901098901,24.0675171339,1.49260405,26.8730769231,11.1453356126,0.6912043723
27,0.13,43.1023210199,22.7033801987,1.3920335539,20.7368421053,11.0768978155,0.679168181
28,0.13,28.7827715356,19.345992312,1.1839555022,14.2584269663,9.2191724464,0.5642041911
29,0.13,30.3351449275,15.7269307042,1.1594047137,29.4782608696,12.497806991,0.9213505552
30,0.13,22.0666666667,11.0933413462,0.496109307,6.498,5.5319070853,0.2473944058
31,0.13,26.5840220386,15.7631855394,1.0132959444,13.305785124,7.6745182908,0.4933367205
32,0.13,32.4,19.4278151113,0.8688383049,7.008,5.4077662671,0.2418426596
33,0.13,45.3297682709,24.718161533,1.5479113183,20.2901960784,10.8288875626,0.6781312437
34,0.13,27.5500910747,13.3103083864,0.9839263082,12.7540983607,7.5581297113,0.5587130251
35,0.13,27.3243647235,16.4019612886,1.0983565671,13.3094170404,8.0429481198,0.538595643
36,0.13,22.3,16.0728031158,0.7187976071,7.674,6.7034113703,0.2997856701
37,0.13,20.495951417,12.5022535627,0.8668753131,12.7548076923,7.8466354844,0.5440662804
38,0.13,42.3207140659,28.0751191696,1.5181285767,16.9356725146,10.9128103267,0.5900971999
39,0.13,39.6879821704,27.0916670861,1.5462031099,16.7361563518,11.2362298881,0.6412855119
40,0.13,25.4945054945,11.7960093188,1.0345784569,17.0076923077,8.1801788149,0.7174491429
41,0.13,36.4006514658,23.0524536323,1.3156730216,14.7752442997,8.7731994648,0.5007129407
42,0.13,42.0031055901,27.4446363592,1.5294297895,15.4378881988,10.0265575553,0.5587582073
43,0.13,58.2337662338,26.7319042344,1.5231916082,23.4155844156,11.5548951221,0.6584012545
44,0.13,20.0892857143,12.5887015837,0.8411180048,12.7321428571,7.9017201369,0.5279558843
45,0.13,35.3870458136,18.2293189149,1.2549580686,19.327014218,9.570005477,0.6588263471
46,0.13,27.1502590674,16.2781271101,1.1717252287,17.378238342,10.6029101003,0.7632141694
47,0.13,30.2285714286,21.5829864968,0.9652204993,8.24,6.7405044322,0.3014445223
48,0.13,31.8,20.6527910409,0.9236208938,7.884,6.1343739697,0.2743375439
49,0.13,13.84,7.6976879646,0.3442510712,6.69,5.351812777,0.2393403434
50,0.13,25.2635689184,13.4701118264,0.9597057306,13.2538071066,8.0004154856,0.570006002
51,0.13,21.675,15.161855922,0.6780588101,7.194,6.2744214076,0.2806006557
52,0.13,17.175,10.3842127771,0.4643961132,6.946,5.7270484545,0.2561213931
53,0.13,15.8333333333,5.5277079839,0.4513354669,11.7266666667,6.6742257146,0.5449482476
54,0.13,19.7728446051,7.3628483164,0.6031880367,10.932885906,6.037538533,0.4946144288
55,0.13,51.8086080586,27.3056880693,1.5458801751,23.1217948718,11.8141825616,0.6688463796
56,0.13,19.2244495564,8.5834181704,0.6415547956,13.1452513966,7.6612000255,0.5726249752
